dataset,repeat,task_type,metric,higher_is_better,noise_level,metadata_mode,score_scopeA_clean_test,score_scopeB_corrupt_test,perf_scopeA,perf_scopeB
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,0,catboost,1.6922663273287641,1.6922663273287641,-1.6922663273287641,-1.6922663273287641
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,0,baseline,6.955536157715726,6.955536157715726,-6.955536157715726,-6.955536157715726
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,0,true,3.384961203055714,3.384961203055714,-3.384961203055714,-3.384961203055714
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,0,none,2.9145940152222205,2.9145940152222205,-2.9145940152222205,-2.9145940152222205
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,0,wrong,3.7167916444488713,3.7167916444488713,-3.7167916444488713,-3.7167916444488713
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,1,catboost,4.578672057145889,3.0679002341630652,-4.578672057145889,-3.0679002341630652
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,1,baseline,6.955536157715726,6.955536157715726,-6.955536157715726,-6.955536157715726
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,1,true,4.098658406071401,4.028416324202625,-4.098658406071401,-4.028416324202625
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,1,none,5.235488947880412,4.632718164039338,-5.235488947880412,-4.632718164039338
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,1,wrong,4.336977445407399,3.918619229642289,-4.336977445407399,-3.918619229642289
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,2,catboost,6.337423718212529,6.31480294089555,-6.337423718212529,-6.31480294089555
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,2,baseline,6.955536157715726,6.955536157715726,-6.955536157715726,-6.955536157715726
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,2,true,6.5968178459383555,6.434601022002321,-6.5968178459383555,-6.434601022002321
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,2,none,6.549356129039362,6.482769535370487,-6.549356129039362,-6.482769535370487
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,2,wrong,6.368395177490344,6.410172473484015,-6.368395177490344,-6.410172473484015
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,3,catboost,6.973247532780111,6.944481040371205,-6.973247532780111,-6.944481040371205
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,3,baseline,6.955536157715726,6.955536157715726,-6.955536157715726,-6.955536157715726
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,3,true,7.376893720581085,7.065368280824785,-7.376893720581085,-7.065368280824785
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,3,none,7.31367072525442,7.0247375888388515,-7.31367072525442,-7.0247375888388515
airfoil_self_noise,0,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,3,wrong,7.178853618382822,7.045942950164961,-7.178853618382822,-7.045942950164961
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,0,catboost,1.84212776249316,1.84212776249316,-1.84212776249316,-1.84212776249316
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,0,baseline,6.857923939530116,6.857923939530116,-6.857923939530116,-6.857923939530116
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,0,true,3.8580230001201006,3.8580230001201006,-3.8580230001201006,-3.8580230001201006
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,0,none,3.5464910738378963,3.5464910738378963,-3.5464910738378963,-3.5464910738378963
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,0,wrong,3.984976546330226,3.984976546330226,-3.984976546330226,-3.984976546330226
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,1,catboost,10.103551469177066,3.3424467923123737,-10.103551469177066,-3.3424467923123737
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,1,baseline,6.857923939530116,6.857923939530116,-6.857923939530116,-6.857923939530116
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,1,true,11.366046379452875,4.836066301096175,-11.366046379452875,-4.836066301096175
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,1,none,10.846021395563035,4.601487339788592,-10.846021395563035,-4.601487339788592
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,1,wrong,11.098924391820102,4.91215413109824,-11.098924391820102,-4.91215413109824
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,2,catboost,2.160129956937645,2.195757900122175,-2.160129956937645,-2.195757900122175
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,2,baseline,6.857923939530116,6.857923939530116,-6.857923939530116,-6.857923939530116
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,2,true,3.742214682829828,3.6602966727590642,-3.742214682829828,-3.6602966727590642
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,2,none,3.929452286299731,3.9200371684988626,-3.929452286299731,-3.9200371684988626
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,2,wrong,3.574887683372784,3.6682873406886642,-3.574887683372784,-3.6682873406886642
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,3,catboost,6.957955419293441,6.856433482515901,-6.957955419293441,-6.856433482515901
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,3,baseline,6.857923939530117,6.857923939530117,-6.857923939530117,-6.857923939530117
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,3,true,7.0546191368816045,7.077844223978662,-7.0546191368816045,-7.077844223978662
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,3,none,7.104023707114124,7.020715954593405,-7.104023707114124,-7.020715954593405
airfoil_self_noise,1,regression,RMSE (sqrt of sklearn.metrics.mean_squared_error),False,3,wrong,6.955787075693386,6.892201660851996,-6.955787075693386,-6.892201660851996
